"year","player","team","age","gp","w","l","min","pct_pts_2pt","pct_pts_mr","pct_pts_3pt","pct_pts_fstbrk","pct_pts_ft","pct_pts_off_tos","pct_pts_inthept","pct_2ptgfm_asstd","pct_2ptgfm_unasstd","pct_3ptgfm_asstd","pct_3ptgfm_unasstd","pct_fgm_asstd","pct_fgm_unasstd","total_min","player_win_ratio","shot_assisted_ratio"
"2019","Dennis Smith Jr.","NYK",21,53,21,32,28.5,58.4,10.5,27.8,17.7,13.7,18.1,47.9,25.1,74.9,64.2,35.8,34.5,65.5,1510.5,0.39622641509434,0.53
"2019","Derrick Favors","UTA",27,76,46,30,23.2,77.1,4.7,5.7,3.6,17.2,12.4,72.5,75.4,24.6,100,0,76.6,23.4,1763.2,0.605263157894737,3.27
"2019","Derrick Jones Jr.","MIA",22,60,31,29,19.2,62.6,1.4,19.9,15.4,17.5,24.4,61.1,65.2,34.8,100,0,71.3,28.8,1152,0.516666666666667,2.48
"2019","Derrick Rose","MIN",30,51,24,27,27.3,67.4,21.2,17.7,11.7,14.9,12,46.2,24.9,75.1,68.5,31.5,31.4,68.6,1392.3,0.470588235294118,0.46
"2019","Derrick White","SAS",24,67,41,26,25.8,64,15.7,21.7,12.2,14.3,14.2,48.3,42.9,57.1,83.3,16.7,50.4,49.6,1728.6,0.611940298507463,1.02
"2019","Devin Booker","PHX",22,64,15,49,35,53.1,15.4,23.8,16.2,23.1,13.8,37.6,29.5,70.5,57.8,42.2,36,64,2240,0.234375,0.56
"2019","Devin Harris","DAL",36,68,28,40,15.7,32.7,3.7,43.5,14.3,23.8,11,29,57.1,42.9,87.1,12.9,71.2,28.8,1067.6,0.411764705882353,2.47
"2019","Dewayne Dedmon","ATL",29,64,24,40,25.1,50.8,4.9,35.9,7.4,13.3,12,45.9,80.1,19.9,97.6,2.4,85.7,14.3,1606.4,0.375,5.99
"2019","Dion Waiters","MIA",27,44,20,24,25.9,33.8,6.8,62,7.6,4.2,9.9,26.9,28.1,71.9,82.6,17.4,58.1,41.9,1139.6,0.454545454545455,1.39
"2019","Domantas Sabonis","IND",23,74,43,31,24.8,77.5,9.4,2.6,4.7,19.9,15.1,68.1,65.6,34.4,100,0,66.3,33.7,1835.2,0.581081081081081,1.97
"2019","Donovan Mitchell","UTA",22,77,49,28,33.7,51.7,9.2,30.8,9.7,17.4,13.9,42.5,23.7,76.3,58,42,33.4,66.6,2594.9,0.636363636363636,0.5
"2019","Dorian Finney-Smith","DAL",26,81,33,48,24.5,49,3,39,16.8,12,15.3,46.1,59.1,40.9,96.2,3.8,71.9,28.1,1984.5,0.407407407407407,2.56
"2019","Doug McDermott","IND",27,77,43,34,17.4,43.6,8.9,44.7,12.8,11.7,11.3,34.8,91.9,8.1,100,0,95.2,4.8,1339.8,0.558441558441558,19.83
"2019","Draymond Green","GSW",29,66,48,18,31.3,58,4.9,29,19.1,13,13.6,53.1,70.2,29.8,93.6,6.4,76.1,23.9,2065.8,0.727272727272727,3.18
"2019","Dwight Powell","DAL",27,77,31,46,21.6,61.6,0.2,14.4,6.7,24,10.9,61.3,84.1,15.9,100,0,86.2,13.8,1663.2,0.402597402597403,6.25
"2019","Dwyane Wade","MIA",37,72,35,37,26.2,60.9,14,23.8,9.4,15.2,13.8,46.9,33.3,66.7,54.7,45.3,37.7,62.3,1886.4,0.486111111111111,0.61
"2019","E'Twaun Moore","NOP",30,53,21,32,27.6,56.9,8.2,36,17.9,7.1,13.4,48.7,69.4,30.6,92.1,7.9,76.2,23.8,1462.8,0.39622641509434,3.2
"2019","Ed Davis","BKN",30,81,42,39,17.9,78.8,0,0,1.5,21.2,12.1,78.8,60.2,39.8,0,0,60.2,39.8,1449.9,0.518518518518518,1.51
"2019","Elfrid Payton","NOP",25,42,18,24,29.8,65.5,2.2,22.2,14.1,12.3,15,63.2,34.9,65.1,84.8,15.2,44.1,55.9,1251.6,0.428571428571429,0.79
"2019","Elie Okobo","PHX",21,53,7,46,18.1,49.3,7.9,38.5,13.5,12.2,15.5,41.4,45.3,54.7,79.5,20.5,57,43,959.3,0.132075471698113,1.33
"2019","Emmanuel Mudiay","NYK",23,59,13,46,27.2,59.8,15.1,23.7,13.3,16.5,14.2,44.7,22.6,77.4,85.5,14.5,35.8,64.2,1604.8,0.220338983050847,0.56
"2019","Enes Kanter","POR",27,67,28,39,24.5,79.8,3.1,3.3,5.4,16.9,11.3,76.7,49.9,50.1,90,10,50.9,49.1,1641.5,0.417910447761194,1.04
"2019","Eric Bledsoe","MIL",29,78,59,19,29.1,55.8,3.4,30,21.2,14.3,20.1,52.4,32.9,67.1,58.9,41.1,39.8,60.2,2269.8,0.756410256410256,0.66
"2019","Eric Gordon","HOU",30,68,44,24,31.7,30.5,1.5,58.7,11.6,10.8,13.3,29,43.5,56.5,87.5,12.5,68.2,31.8,2155.6,0.647058823529412,2.14
"2019","Ersan Ilyasova","MIL",32,67,49,18,18.4,48.1,6.2,38.4,12.8,13.5,13.5,41.9,69.7,30.3,100,0,80.2,19.8,1232.8,0.73134328358209,4.05
"2019","Evan Fournier","ORL",26,81,42,39,31.5,51.4,12.7,37.4,11.3,11.2,14,38.7,50.8,49.2,85.6,14.4,62.2,37.8,2551.5,0.518518518518518,1.65
"2019","Evan Turner","POR",30,73,47,26,22,78.1,23.5,6.7,6.5,15.2,8.5,54.7,30.6,69.4,100,0,34.3,65.7,1606,0.643835616438356,0.52
"2019","Frank Jackson","NOP",21,61,22,39,19.2,57,6.5,32.1,21.6,10.9,15.4,50.5,63.8,36.2,88.7,11.3,70.6,29.4,1171.2,0.360655737704918,2.4
"2019","Frank Ntilikina","NYK",20,43,9,34,21,50.4,16.3,40.2,6.9,9.3,11.4,34.1,29,71,72.7,27.3,44.2,55.8,903,0.209302325581395,0.79
"2019","Fred VanVleet","TOR",25,64,46,18,27.5,38.2,10.3,47.9,19.3,13.8,14.1,28,28.4,71.6,75.9,24.1,50,50,1760,0.71875,1
"2019","Garrett Temple","LAC",33,75,37,38,27.2,40.3,7.5,46.1,24.1,13.7,24.9,32.8,63.6,36.4,93.3,6.7,76.4,23.6,2040,0.493333333333333,3.24
"2019","Gary Harris","DEN",24,57,38,19,28.8,51,6.2,33.4,15.1,15.6,15.9,44.8,60.6,39.4,89,11,69.3,30.7,1641.6,0.666666666666667,2.26
"2019","George Hill","MIL",33,60,39,21,21.7,53.3,10.9,31.4,14.6,15.3,19.7,42.4,41.8,58.2,79.2,20.8,52.4,47.6,1302,0.65,1.1
"2019","Gerald Green","HOU",33,73,47,26,20.2,22.2,3.9,69.3,10.1,8.4,14.8,18.4,68,32,91,9,83.5,16.5,1474.6,0.643835616438356,5.06
"2019","Giannis Antetokounmpo","MIL",24,72,56,16,32.8,67.1,4,7.8,16.9,25.1,14.1,63.1,47.2,52.8,67.3,32.7,48.7,51.3,2361.6,0.777777777777778,0.95
"2019","Goran Dragic","MIA",33,36,16,20,27.5,49.4,7.3,34.6,13.4,16,16.8,42.1,29.5,70.5,77.2,22.8,44.7,55.3,990,0.444444444444444,0.81
"2019","Gordon Hayward","BOS",29,72,44,28,25.9,53.1,14.5,28,17.1,18.9,17.9,38.5,60.7,39.3,87,13,67.6,32.4,1864.8,0.611111111111111,2.09
"2019","Gorgui Dieng","MIN",29,76,33,43,13.6,70.1,30.5,11.8,4.9,18.1,13,39.6,74.1,25.9,94.7,5.3,76.2,23.8,1033.6,0.434210526315789,3.2
"2019","Harrison Barnes","SAC",27,77,34,43,32.9,40.6,7.1,41.3,8.9,18.1,11.6,33.5,50.6,49.4,86.8,13.2,65.2,34.8,2533.3,0.441558441558442,1.87
"2019","Hassan Whiteside","MIA",29,72,33,39,23.3,87,4.1,0.7,4.4,12.3,13.4,83,61.4,38.6,100,0,61.6,38.4,1677.6,0.458333333333333,1.6
"2019","Ian Clark","NOP",28,60,24,36,16.2,42.4,10.5,49.4,16,8.2,8,31.9,57.6,42.4,84.8,15.2,69.5,30.5,972,0.4,2.28
"2019","Iman Shumpert","HOU",28,62,39,23,23.9,31,14.6,61.3,20.6,7.7,21.3,16.3,54.2,45.8,89.5,10.5,74.3,25.7,1481.8,0.629032258064516,2.89
"2019","Ish Smith","DET",30,56,33,23,22.3,64.3,18.8,26.3,9.8,9.4,13.2,45.5,10.6,89.4,70.5,29.5,23.4,76.6,1248.8,0.589285714285714,0.31
"2019","Ivica Zubac","LAC",22,59,32,27,17.6,80.8,1.9,0,10.1,19.2,13.5,78.9,80.2,19.8,0,0,80.2,19.8,1038.4,0.542372881355932,4.05
"2019","JJ Redick","PHI",34,76,49,27,31.3,30.9,19.5,52.5,11.1,16.6,11.6,11.4,83,17,95,5,89.4,10.6,2378.8,0.644736842105263,8.43
"2019","JaMychal Green","LAC",28,65,31,34,21.1,52,8.2,34.9,9.8,13.1,16.2,43.9,62.3,37.7,95.8,4.2,72.6,27.4,1371.5,0.476923076923077,2.65
"2019","JaVale McGee","LAL",31,75,35,40,22.3,89,2.5,0.3,10.7,10.7,10,86.5,77.9,22.1,100,0,78,22,1672.5,0.466666666666667,3.55
"2019","Jabari Parker","WAS",24,64,18,46,26.9,66.2,12.3,19.7,13.7,14.1,11.5,54,48.4,51.6,86.9,13.1,54.7,45.3,1721.6,0.28125,1.21
"2019","Jae Crowder","UTA",28,80,48,32,27.1,30.5,5.7,54.6,14.5,14.9,14.7,24.8,86.9,13.1,94.2,5.8,90.9,9.1,2168,0.6,9.99
